                Game of the Rope - Description of the internal state
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
TRY  WATL SAB  9 SIP 10 SIP  7 SIP  9 SAB 10  WATL SAB  8 SIP  9 SIP 10 SIP  9 SAB 10 6 7 8 . 1 2 3 -  -
TRY  WATL SAB  9 SIP 10 SIP  7 SIP  9 SAB 10  WATL SAB  8 SIP  9 SIP 10 SIP  9 SAB 10 6 7 8 . 1 2 3 -  -
WTC  WATL SAB  9 SIP 10 SIP  7 SIP  9 SAB 10  WATL SAB  8 SIP  9 SIP 10 SIP  9 SAB 10 6 7 8 . 1 2 3 3  1
WTC  WATL SAB  9 SIP 10 DYB  7 SIP  9 SAB 10  WATL SAB  8 SIP  9 SIP 10 SIP  9 SAB 10 6 7 8 . 1 2 3 3  1
WTC  WATL SAB  9 SIP 10 DYB  7 SIP  9 SAB 10  WATL SAB  8 SIP  9 SIP 10 DYB  9 SAB 10 6 7 8 . 1 2 3 3  1
WTC  WATL SAB  9 DYB 10 DYB  7 SIP  9 SAB 10  WATL SAB  8 SIP  9 SIP 10 DYB  9 SAB 10 6 7 8 . 1 2 3 3  1
WTC  WATL SAB  9 DYB 10 DYB  7 SIP  9 SAB 10  WATL SAB  8 SIP  9 DYB 10 DYB  9 SAB 10 6 7 8 . 1 2 3 3  1
WTC  WATL SAB  9 DYB 10 DYB  7 SIP  9 SAB 10  WATL SAB  8 DYB  9 DYB 10 DYB  9 SAB 10 6 7 8 . 1 2 3 3  1
WTC  WATL SAB  9 DYB 10 DYB  7 DYB  9 SAB 10  WATL SAB  8 DYB  9 DYB 10 DYB  9 SAB 10 6 7 8 . 1 2 3 3  1
WTC  WATL SAB  9 DYB 10 DYB  7 DYB  9 SAB 10  WATL SAB  8 DYB  9 DYB 10 DYB  9 SAB 10 6 7 8 . 1 2 3 3  3
WTC  WATL SAB  9 DYB 10 DYB  7 DYB  9 SAB 10  WATL SAB  8 DYB  9 DYB 10 SAB  8 SAB 10 6 7 - . 1 2 3 3  3
WTC  WFRC SAB  9 DYB 10 DYB  7 DYB  9 SAB 10  WATL SAB  8 DYB  9 DYB 10 SAB  8 SAB 10 6 7 - . 1 2 3 3  3
WTC  WFRC SAB  9 SAB  9 DYB  7 DYB  9 SAB 10  WATL SAB  8 DYB  9 DYB 10 SAB  8 SAB 10 6 7 - . 2 3 - 3  3
WTC  WFRC SAB  9 SAB  9 DYB  7 DYB  9 SAB 10  WFRC SAB  8 DYB  9 DYB 10 SAB  8 SAB 10 6 7 - . 2 3 - 3  3
WTC  WFRC SAB  9 SAB  9 DYB  7 DYB  9 SAB 10  WFRC SAB  8 DYB  9 SAB  9 SAB  8 SAB 10 6 - - . 2 3 - 3  3
WTC  WFRC SAB  9 SAB  9 DYB  7 SAB  8 SAB 10  WFRC SAB  8 DYB  9 SAB  9 SAB  8 SAB 10 6 - - . 2 - - 3  3
WTC  WFRC SAB  9 SAB  9 SAB  6 SAB  8 SAB 10  WFRC SAB  8 DYB  9 SAB  9 SAB  8 SAB 10 6 - - . - - - 3  3
WTC  WFRC SAB  9 SAB  9 SAB  6 SAB  8 SAB 10  WFRC SAB  8 SAB  8 SAB  9 SAB  8 SAB 10 - - - . - - - 3  3
TRY  WFRC SAB  9 SAB  9 SAB  6 SAB  8 SAB 10  WFRC SAB  8 SAB  8 SAB  9 SAB  8 SAB 10 - - - . - - - -  -
TRY  WFRC SAB  9 SAB  9 SAB  6 SAB  8 SAB 10  ASTM SAB  8 SAB  8 SAB  9 SAB  8 SAB 10 - - - . - - - -  -
TRY  WFRC SAB  9 SAB  9 SAB  6 SAB  8 SAB 10  ASTM SAB  8 SAB  9 SAB  9 SAB  8 SAB 10 - - - . - - - -  -
TRY  WFRC SAB  9 SAB  9 SAB  6 SAB  8 SAB 10  ASTM SAB  8 SAB  9 SAB  9 SAB  9 SAB 10 - - - . - - - -  -
TRY  ASTM SAB  9 SAB  9 SAB  6 SAB  8 SAB 10  ASTM SAB  8 SAB  9 SAB  9 SAB  9 SAB 10 - - - . - - - -  -
TRY  ASTM SAB  9 SAB 10 SAB  6 SAB  8 SAB 10  ASTM SAB  8 SAB  9 SAB  9 SAB  9 SAB 10 - - - . - - - -  -
TRY  ASTM SAB  9 SAB 10 SAB  6 SAB  9 SAB 10  ASTM SAB  8 SAB  9 SAB  9 SAB  9 SAB 10 - - - . - - - -  -
TRY  ASTM SAB  9 SAB 10 SAB  6 SAB  9 SAB 10  ASTM SIP  8 SAB  9 SAB  9 SAB  9 SAB 10 5 - - . - - - -  -
TRY  ASTM SAB  9 SAB 10 SAB  6 SAB  9 SIP 10  ASTM SIP  8 SAB  9 SAB  9 SAB  9 SAB 10 5 - - . 4 - - -  -
TRY  ASTM SAB  9 SAB 10 SAB  6 SAB  9 SIP 10  ASTM SIP  8 SAB  9 SAB  9 SAB  9 SIP 10 5 9 - . 4 - - -  -
TRY  ASTM SAB  9 SAB 10 SAB  6 SAB  9 SIP 10  ASTM SIP  8 SAB  9 SIP  9 SAB  9 SIP 10 5 9 7 . 4 - - -  -
TRY  ASTM SAB  9 SAB 10 SIP  6 SAB  9 SIP 10  ASTM SIP  8 SAB  9 SIP  9 SAB  9 SIP 10 5 9 7 . 4 2 - -  -
